nombre;tipo_documento;num_documento;direccion;telefono;email;prefijo_celular;aletorio_6_num;tipo_correo;prefijp_correo;num_correo;caracter
Acevedo Jhong, Daniel;DNI;20753503;JIRON Ancash Nº 536;958696512;adaniel_7@hotmail.com;958;696512;@hotmail.com;adaniel;7;_
Agurto Rondoy, Miguelvicente;DNI;15064826;JR HIPOLITO UNANUE Nº 256, EL TAMBO - Ref: AA.HH. JPV;960519809;agurto90@hotmail.com;960;519809;@hotmail.com;agurto;90;
Alcalá Negrón, Christian Nelson;DNI;79263650;AVENIDA Huancavelica Nº 236;952513983;christian_al50@hotmail.com;952;513983;@hotmail.com;christian_al;50;
Almora Hernandez, Raul Eduardo;DNI;74971675;CALLE REAL Nº 640;955961427;raul_edu.42@hotmail.com;955;961427;@hotmail.com;raul_edu;42;.
Alosilla Velazco Vera, Jorge ;DNI;61017696;PASAJE SAN JOSE Nº 102;943641440;alosilla.35@hotmail.com;943;641440;@hotmail.com;alosilla;35;.
Alva Campos, Victor;DNI;78528372;JIRON Lima Nº 1052, HUANCAYO;954286971;jorge_51@hotmail.com;954;286971;@hotmail.com;jorge;51;_
Arevalo Lopez, Javier;DNI;30567486;CALLE Las Rosas Nº 176 Mz I Lt 11;958978134;javier_arevalo16@hotmail.com;958;978134;@hotmail.com;javier_arevalo;16;
Arias Hernandez, Rosario;DNI;45702881;PASAJE Holanda Nº 120 Mz A Lt 19;977532484;rosarioa_h10@gmail.com;977;532484;@gmail.com;rosarioa_h;10;
Arroyo Ramírez, Efraín ;DNI;36973975;JIRON Piura Nº 139;977393051;efrain.23@gmail.com;977;393051;@gmail.com;efrain;23;.
Alocen Barrera, Marco Tulio;DNI;31256058;JIRON MOQUEGUA Nº 1078;962314087;marco_89@hotmail.com;962;314087;@hotmail.com;marco;89;_
Baiocchi Ureta, Cesar;DNI;49859780;PRLG NEMESIO RAEZ Nº 3865, EL TAMBO - Ref: FRENTE A LA UNCP;974801713;cesar_bu.58@hotmail.com;974;801713;@hotmail.com;cesar_bu;58;.
Baylón Rojas, Isela Flor;DNI;43413022;AVENIDA San Carlos Nº 474 Dpto 205-A;952255680;iselaflor.65@gmail.com;952;255680;@gmail.com;iselaflor;65;.
Bedoya Castillo, Leoncia;DNI;45164450;JIRON San Martín Nº 688;962316646;leonciarojas.40@gmail.com;962;316646;@gmail.com;leonciarojas;40;.
Bedregal Canales, Luz Marina;DNI;33038320;JR GENERAL CORDOVA Nº 131, CHILCA;956908550;luzbedregal59@gmail.com;956;908550;@gmail.com;luzbedregal;59;
Bejar Torres, Ramiro Alberto;DNI;20299011;CL UNION Nº 110 - Ref: TRES ESQUINAS UÑAS;964167382;ramiro_bejar83@hotmail.com;964;167382;@hotmail.com;ramiro_bejar;83;
Benavides Espejo, Javier;DNI;49467915;AVENIDA Martires del Periodismo Nº 383, HUANCAYO;970462680;javierbe.66@hotmail.com;970;462680;@hotmail.com;javierbe;66;.
